StepId,RecipeId,StepNumber,StepText
161,36,2,"Làm nóng chảo, cho hỗn hợp vào dàn đều, chiên lửa vừa đến khi vàng hai mặt."
162,36,3,"Lấy bánh ra đĩa, rưới sốt okonomiyaki và mayonnaise lên mặt."
163,36,4,"Rắc cá bào lên trên cùng, dùng nóng."
164,37,1,Cá rửa sạch ướp với gia vị
165,37,2,"Thắng 20gr đường với mỡ heo, phi thơm hành tỏi ớt, thêm 3 quả cà chua thái nhuyễn vào nấu chín."
166,37,3,"Xếp cá vào rồi chế thêm nước nóng cho ngập mặt cá. Kho 2 lần, giữa 2 lần nghỉ 30 phút. Thêm hành lá là xong."
167,38,1,"Thịt ba chỉ luộc, xắt mỏng. Cá chim bọc giấy bạc nướng NCKD 200°C trong 20ph. Tôm luộc, lột vỏ. Rau sống rửa sạch, để ráo."
168,38,2,Làm nước chấm theo ý thích gồm mắm chanh đường tỏi ớt. Bày ra dĩa. Cuốn theo ý thích. Măm thôi.
169,39,1,"Ba chỉ cắt con chì, ướp với chục lá mắc mật vò nát, 1 tbsp nước mắm, 1 tsp đường, 1 tbsp nước cốt hành tỏi, 1 tbsp mirin ít nhất 15 phút."
170,39,2,"Dùng xiên xiên xen kẽ thịt và lá. Làm nóng nckd, cho vào nướng từng mẻ 10-15 phút có trở mặt."
171,39,3,Pha mắm tôm chấm kèm.
172,40,1,"Củ cải trắng gọt vỏ, cắt miếng vừa ăn, ướp với muối 10 phút rồi xả sơ qua nước."
173,40,2,"Làm nóng dầu, cho thịt băm vào xào săn."
174,40,3,"Thêm củ cải vào xào chung, nêm nước mắm, đường, hạt nêm."
175,40,4,"Thêm ít nước, đậy nắp và kho nhỏ lửa 20 phút cho củ cải mềm, thấm vị."
176,40,5,"Rắc tiêu, dọn ra đĩa."
177,41,1,"Cá rửa qua, ngâm nước gừng giấm 10 phút để khử mùi tanh, sau đó rửa kỹ lại và khéo xéo, ướp ít hạt nêm và tiêu xay 10 phút rồi cho vào dĩa sâu lòng hấp cùng gừng và hành tây cắt lát, hành lá cắt khúc cùng 1mcf đường, 2mc nước tương, ít hạt nêm và tiêu xay"
178,41,2,Đậy nắp hấp 15 phút cho cá chín
179,41,3,Cuối cùng thêm ít tiêu xay và hành lá trang trí
180,42,1,Rửa sạch các nguyên liệu. Tôm và mực băm nhỏ. Rau bồ ngót Nhật và hành lá cắt nhỏ. Phi thơm hành tím và tỏi băm rồi cho tôm mực vào xào sơ.
181,42,2,"Tôm mực chín, chế lượng nước lọc vừa đủ ăn vào. Nước sôi thì cho vào rau bồ ngót Nhật, nêm nếm gia vị vừa ăn. Canh sôi lần nữa thì tắt bếp, cho hành lá tiêu xay vào rồi khuấy đều. Ăn khi còn nóng siêu ngon ạ 💚"
182,43,1,"Trộn toàn bộ nguyên liệu. gia vị vào nhau thật đều, thật nhuyễn, để trong 30 phút, để thịt thấm gia vị."
183,43,2,"Bọc thịt quanh cây sả, vê cho thịt thuôn dài vừa ăn."
184,43,3,"Chiên với dầu hoặc nướng NCKD. Mình nướng nồi chiên (150 độ, 15 phút); sau đó lật mặt (180 độ, 5 phút)."
185,43,4,Cho ra dĩa và ăn thôi. Cuộn với rau xà lách hoặc ăn với cơm nóng đều ngon.
186,44,1,"Mở hộp đậu hũ, tráng qua nước lọc rồi dùng khăn giấy thấm cho khô. Cắt đậu thành miếng vừa ăn. Lấy 1 cái dĩa có đích phẳng hay dao bản to đè lên miếng đậu hũ cho dẹp xuống. Đè vừa thôi đừng mạnh tay quá làm nát đậu."
187,44,2,"Bắc chảo dầu nóng lên, đợi dầu sôi cho 1/3 mcf muối vào khuấy tan rồi cho đậu hũ vào chiên. Đợi đậu vàng hẳn 1 mặt thì lật mặt kia xuống chiên tiếp cho vàng đều 2 mặt."
188,44,3,Gắp ra dĩa có lót giấy thấm dầu. Có thể ăn không chấm tương ớt hoặc làm tí mắm mỡ hành rưới lên nhé. Ăn kiểu bún nước tương cũng ngon nữa.
189,45,1,"Đuôi heo luộc sơ với muối, gừng, rửa sạch. Cho vào nồi 2l nước, đuôi heo, 1 củ hành khô đập dập, 1/2 thìa canh muối, 1/3 thìa canh đường. Ninh đuôi heo trong 30 phút."
190,45,2,"Củ sen, hạt sen rửa sạch, để ráo."
191,45,3,"Xương đuôi heo nấu 30 phút rồi cho hạt sen, củ sen nấu 20 phút. Nêm gia vị cho vừa miệng."
192,45,4,"Trút canh ra bát, cho hành lá và rau mùi vào rồi thưởng thức."
193,46,1,"Nếp vo sạch, ngâm nước qua đêm, để ráo."
194,46,2,"Nấm đông cô ngâm mềm, cắt lát. Lạp xưởng, xá xíu cắt lát mỏng."
195,46,3,"Quét dầu vào khuôn, xếp gà, nấm, lạp xưởng, xá xíu xuống đáy."
196,46,4,"Trộn nếp với chút muối, hành lá, nước tương, cho vào khuôn, nén nhẹ."
197,46,5,Hấp cách thủy 40 phút đến khi nếp chín dẻo.
198,46,6,"Úp ngược khuôn ra đĩa, dùng nóng."
199,47,1,Nạc vai chọn phần xem lẫn mỡ để thịt không bị khô. Thịt mua về rửa sạch. Pha loãng baking soda với sữa đặc rồi ngâm thịt trong 20 phút. Không bỏ qua bước này giúp thịt thơm và mềm.
200,47,2,Sau khi ngâm rửa thịt lại với nước sạch.
201,47,3,"Thịt chín mềm rục tuy nhiên bên trong thịt vẫn còn hồng, rất thơm luôn."
202,47,4,"Múc thịt và nước ra bát, rắc tiêu rồi thưởng thức. Ăn cùng cơm nóng, bánh mỳ rất ngon."
203,48,1,"Sơ chế: Cá làm sạch, cắt khúc. Riềng thái lát mỏng hoặc giã nhỏ, sả đập dập."
204,48,2,"Ướp cá: Ướp cá với nước mắm, hạt nêm, đường, nước màu, hành, gừng, ớt trong ít nhất 30 phút."
205,48,3,"Xếp nồi: Lót riềng và sả dưới đáy nồi, xếp thịt ba chỉ lên trên rồi mới đến cá."
206,48,4,Kho cá: Đun lửa lớn cho sôi rồi hạ lửa riu riu. Kho trong khoảng 45-60 phút cho đến khi nước cạn gần hết và cá thấm vị.
207,49,1,"B1. Rửa cá, rau thì là cho sạch, cho vào cối xay kèm gia vị B2. Xay lần1 cho nhuyễn là được kkkkk B3. Mang để tủ đá tầm 1h B4. Cho thêm 30g bột năng để tạo kết dính, Xay lần2 tiếp cho nhuyễn B5. Chuẩn bị màng bọc thực phẩm, cho nguyên liệu xay nhuyễn ra khuôn B6. Mang đi hấp sẽ ok hơn ạ. Cá nhanh chín hấp tầm 15-20p thoii. Rồi cứ để trong nồi ủ tới khi nguội Hấp xong cho tủ đá bảo quản. Bữa nào ăn thì hấp lại hoặc mang đi chiên, sẽ đỡ dầu mỡ hơn"
208,50,1,"Cá rửa cùng nước rồi ngâm cho mềm, rửa lại để ráo."
209,50,2,Cho cá vào chảo chiên sơ rồi vớt ra.
210,50,3,"Phi hành tỏi cho vàng, thêm nước mắm, đường, đường tan cho cá vào đảo 1 chút là xong nè"
211,51,1,"Giò heo chặt khoanh, bóp muối rửa sạch. Phi thơm hành tỏi băm, cho giò heo vào đảo săn rồi cho 1 chén nước, 3mc nước mắm, 1mc đường, ít hạt nêm, ít nước màu vào kho lửa nhỏ 45 phút. Thơm cắt lát"
212,51,2,Cho thơm vào kho cùng với giò heo. Thơm cũng có tác dụng làm món ăn nhanh mềm hơn
213,51,3,"Giò heo mềm thì múc ra dĩa, cho thêm ít hành lá và tiêu xay"
214,52,1,"Chân gà làm sạch, bóp muối rửa lại và cho vào nồi hầm với 1,5l nước, 1mcf muối, ít hạt nêm và 5 củ hành bóc vỏ đập dập. Cà chua cắt múi cau"
215,52,2,"Chân gà hơi mềm thì cho cà chua vào nấu thêm 5 phút, nêm lại cho vừa vị. Múc ra tô, thêm hành ngò và tiêu xay"
216,53,1,"Măng rửa sạch, thái 1 đường để cái măng to ra cho dễ cuộn, nấm hương mộc nhĩ ngâm nở rửa sạch rồi thái nhỏ, mùi tàu hành thái nhỏ, trứng lấy lòng đỏ bỏ lòng trắng, trộn tất cả thịt xay, hành, mùi tàu, mộc nhĩ nấm hương, thêm 2 thìa phở dầu hào, 1 thìa nước mắm, 1 nhúm mì chính, gia giảm gia vị theo khẩu vị nhà mình nha, trộn đều tất cả để làm nhân"
