RecipeId,IngredientId,Quantity,IngredientName,tokens,IngredientClean,IngredientProcessed
30,183,100 gr,cua,['cua'],cua,cua
30,184,,muối,['muối'],muối,muối
30,185,,hành tím,"['hành', 'tím']",hành tím,hành_tím
30,186,1 muỗng canh,hành lá,"['hành', 'lá']",hành lá,hành_lá
31,187,300 g,cá cờ,"['cá', 'cờ']",cá cờ,cá_cờ
31,188,10 g,tiêu xanh,"['tiêu', 'xanh']",tiêu xanh,tiêu_xanh
31,189,1 củ,hành tím,"['hành', 'tím']",hành tím,hành_tím
31,190,2 tép,tỏi,['tỏi'],tỏi,tỏi
31,191,2 muỗng canh,nước mắm,"['nước', 'mắm']",nước mắm,nước_mắm
31,192,1 muỗng cà phê,đường,['đường'],đường,đường
31,193,1 muỗng cà phê,nước màu,"['nước', 'màu']",nước màu,nước_màu
31,194,1 muỗng canh,dầu ăn,"['dầu', 'ăn']",dầu ăn,dầu_ăn
31,195,1 trái,ớt,['ớt'],ớt,ớt
32,196,600 gr,mực,['mực'],mực,mực
32,197,1 bó,cần tây,"['cần', 'tây']",cần tây,cần_tây
32,198,1/2 trái,thơm,['thơm'],thơm,thơm
32,199,3 trái,cà chua,"['cà', 'chua']",cà chua,cà_chua
33,200,200 g,cải rổ,['cải rổ'],cải rổ,cải_rổ
33,201,10 g,nấm mèo,"['nấm', 'mèo']",nấm mèo,nấm_mèo
33,202,1 củ,nhánh hành tím,"['hành', 'tím']",hành tím,hành_tím
33,203,2 tép,tỏi,['tỏi'],tỏi,tỏi
33,204,1.5 muỗng canh,nước tương,"['nước', 'tương']",nước tương,nước_tương
33,205,1 muỗng canh,dầu ăn,"['dầu', 'ăn']",dầu ăn,dầu_ăn
33,206,1 muỗng cà phê,dầu mè,"['dầu', 'mè']",dầu mè,dầu_mè
33,207,1/4 muỗng cà phê,muối,['muối'],muối,muối
33,208,1/4 muỗng cà phê,tiêu,['tiêu'],tiêu,tiêu
34,209,1 củ,cà rốt,"['cà', 'rốt']",cà rốt,cà_rốt
34,210,1/2 trái,bắp,['bắp'],bắp,bắp
34,211,250 g,đậu que,"['đậu', 'que']",đậu que,đậu_que
34,212,700 g,cơm nguội,"['cơm', 'nguội']",cơm nguội,cơm_nguội
34,213,5 ml,dầu ăn,"['dầu', 'ăn']",dầu ăn,dầu_ăn
34,214,,gia vị,['gia vị'],gia vị,gia_vị
35,215,50 g,núi,['núi'],núi,núi
35,216,100 g,thịt heo,"['thịt', 'heo']",thịt heo,thịt_heo
35,217,1/2 củ,cà rốt,"['cà', 'rốt']",cà rốt,cà_rốt
35,218,,hành tím,"['hành', 'tím']",hành tím,hành_tím
35,219,2 nhánh,hành lá,"['hành', 'lá']",hành lá,hành_lá
35,220,600 ml,nước hầm xương,"['nước', 'hầm', 'xương']",nước hầm xương,nước_hầm_xương
35,221,1 muỗng cà phê,dầu ăn,"['dầu', 'ăn']",dầu ăn,dầu_ăn
35,222,1 muỗng cà phê,nước mắm,"['nước', 'mắm']",nước mắm,nước_mắm
35,223,1/4 muỗng cà phê,muối,['muối'],muối,muối
36,224,50 g,bột mì,"['bột', 'mì']",bột mì,bột_mì
36,225,50 ml,nước,['nước'],nước,nước
36,226,200 g,bắp cải,"['bắp', 'cải']",bắp cải,bắp_cải
36,227,2 quả,trứng gà,"['trứng', 'gà']",trứng gà,trứng_gà
36,228,1 hộp (khoảng 80g),cá ngừ đóng hộp,"['cá ngừ', 'đóng', 'hộp']",cá ngừ đóng hộp,cá_ngừ_đóng_hộp
36,229,50 g,tôm,['tôm'],tôm,tôm
36,230,30 g,sốt okonomiyaki,"['sốt', 'okonomiyaki']",sốt okonomiyaki,sốt_okonomiyaki
36,231,20 g,mayonaise,['mayonaise'],mayonaise,mayonaise
36,232,5 g,cá ngừ,['cá ngừ'],cá ngừ,cá_ngừ
37,233,1 kg,cá nục,"['cá', 'nục']",cá nục,cá_nục
37,234,50 ml,nước mắm,"['nước', 'mắm']",nước mắm,nước_mắm
37,235,10 gr,muối,['muối'],muối,muối
37,236,5 gr,mì chính,"['mì', 'chính']",mì chính,mì_chính
37,237,5 gr,tiêu,['tiêu'],tiêu,tiêu
37,238,20 gr,đường,['đường'],đường,đường
37,239,3 quả,cà chua,"['cà', 'chua']",cà chua,cà_chua
38,240,1 con,cá chim,"['cá', 'chim']",cá chim,cá_chim
38,241,250 gr,thịt ba chỉ,"['thịt', 'ba', 'chỉ']",thịt ba chỉ,thịt_ba_chỉ
38,242,100 gr,tôm,['tôm'],tôm,tôm
38,243,,nước mắm,"['nước', 'mắm']",nước mắm,nước_mắm
38,244,,rau sống,"['rau', 'sống']",rau sống,rau_sống
38,245,,dưa leo,"['dưa', 'leo']",dưa leo,dưa_leo
38,246,,bánh tráng cuốn,"['bánh tráng', 'cuốn']",bánh tráng cuốn,bánh_tráng_cuốn
39,247,500 gr,thịt ba chỉ,"['thịt', 'ba', 'chỉ']",thịt ba chỉ,thịt_ba_chỉ
39,248,40,lá mắc mật,"['lá', 'mắc', 'mật']",lá mắc mật,lá_mắc_mật
39,249,1 chén,mắm tôm,"['mắm', 'tôm']",mắm tôm,mắm_tôm
39,250,1 quả,ớt,['ớt'],ớt,ớt
39,251,,gia vị,['gia vị'],gia vị,gia_vị
